timestamp,model,config,workload,tok_s,completion_tokens,draft_n,draft_accepted,finish_reason
2026-08-27T20:36:06,Qwen3.8-27B-NVFP4-Quality-v2,none,copy,68.6,258,0,0,stop
2026-08-27T20:36:43,Qwen3.8-27B-NVFP4-Quality-v2,none,agentic,67.9,418,0,0,stop
2026-08-27T20:38:17,Qwen3.8-27B-NVFP4-Quality-v2,none,novel,65.7,1024,0,0,length
2026-08-27T20:38:37,Qwen3.8-27B-NVFP4-Quality-v2,draft-mtp,copy,153.4,258,1020,960,stop
2026-08-27T20:38:52,Qwen3.8-27B-NVFP4-Quality-v2,draft-mtp,agentic,150.1,342,1350,1270,stop
2026-08-27T20:39:52,Qwen3.8-27B-NVFP4-Quality-v2,draft-mtp,novel,102.7,1024,5995,3115,length
2026-08-27T20:40:12,Qwen3.8-27B-NVFP4-Quality-v2,dflash/4,copy,180.6,258,1100,1015,stop
2026-08-27T20:40:29,Qwen3.8-27B-NVFP4-Quality-v2,dflash/4,agentic,151.3,418,2020,1580,stop
2026-08-27T20:41:29,Qwen3.8-27B-NVFP4-Quality-v2,dflash/4,novel,103.7,1024,7330,3280,length
2026-08-27T20:41:49,Qwen3.8-27B-NVFP4-Quality-v2,dflash/6,copy,185.8,258,1230,1085,stop
2026-08-27T20:42:02,Qwen3.8-27B-NVFP4-Quality-v2,dflash/6,agentic,172.9,342,1800,1410,stop
2026-08-27T20:43:08,Qwen3.8-27B-NVFP4-Quality-v2,dflash/6,novel,93.6,1024,10715,3325,length
2026-08-27T20:43:27,Qwen3.8-27B-NVFP4-Quality-v2,dflash/7,copy,207.9,258,1295,1105,stop
2026-08-27T20:43:42,Qwen3.8-27B-NVFP4-Quality-v2,dflash/7,agentic,172.7,418,2625,1715,stop
2026-08-27T20:44:44,Qwen3.8-27B-NVFP4-Quality-v2,dflash/7,novel,100.1,1024,11725,3435,length
2026-08-27T20:45:04,Qwen3.8-27B-NVFP4-Quality-v2,dflash/8,copy,193.4,258,1295,1105,stop
2026-08-27T20:45:21,Qwen3.8-27B-NVFP4-Quality-v2,dflash/8,agentic,156.4,418,2625,1715,stop
2026-08-27T20:46:23,Qwen3.8-27B-NVFP4-Quality-v2,dflash/8,novel,100.3,1024,11725,3435,length
