timestamp,model,spec_type,n_match,n_max,n_min,workload,tok_s,completion_tokens,draft_n,draft_accepted
2026-08-26T21:31:52,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,copy,202.8,356,0,0
2026-08-26T21:32:14,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,agentic,192.7,1024,0,0
2026-08-26T21:32:36,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,novel,184.9,1024,0,0
2026-08-26T21:32:57,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,copy,258.2,832,1272,1143
2026-08-26T21:33:12,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,agentic,287.5,1024,1968,1712
2026-08-26T21:33:34,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,novel,184.4,1024,432,262
2026-08-26T21:33:54,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,64,48,copy,261.1,485,1536,1037
2026-08-26T21:34:11,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,64,48,agentic,245.3,1024,2882,2052
2026-08-26T21:34:34,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,64,48,novel,187.1,1024,1454,629
2026-08-26T21:35:22,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,copy,281.3,832,1416,1296
2026-08-26T21:35:36,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,agentic,260.1,857,2586,2055
2026-08-26T21:35:51,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,novel,202.5,588,336,246
2026-08-26T21:36:11,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,24,8,copy,264.7,832,1392,1255
2026-08-26T21:36:26,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,24,8,agentic,286.8,1024,2495,2059
2026-08-26T21:36:40,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,24,24,8,novel,203,559,312,246
2026-08-26T21:37:01,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,32,24,8,copy,274.1,832,1320,1216
2026-08-26T21:37:17,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,32,24,8,agentic,243.9,1024,1815,1621
2026-08-26T21:37:31,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,32,24,8,novel,200.6,559,312,246
2026-08-26T21:38:32,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,copy,201.6,768,0,0
2026-08-26T21:38:56,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,agentic,196.6,768,0,0
2026-08-26T21:39:21,Ornith-1.5-35B-A3B-APEX-MTP-Quality,none,,,,novel,188.8,768,0,0
